Serial No,Inventory No,Inventory Type,Department,Items Name,Total Purchased,Opening Balance,Closing Balance,Total Balance,Total Issue,Total Return,Total Damage,Total Missing,Image
147,IN-Crockery-001,Crockery,Green Glossy GG,MB-0045,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1SDh5nXDPyv2S-woeVB5sGQx7dFfqzTPX
148,IN-Crockery-001,Crockery,Green Glossy GG,MB-0048,0,0,0,0,0,0,0,0,No Image
149,IN-Crockery-001,Crockery,Green Glossy GG,MB-1 GG,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=198SffYkKzhlsCW0JacrANXg3X7xQIfO7
150,IN-Crockery-001,Crockery,Green Glossy GG,MB-10A GG,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1H_gvf8UmKB2ZdwT1RWTBD4CCZ9ZfnZPD
151,IN-Crockery-001,Crockery,Green Glossy GG,MB-10B,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1XIiPuxUptulGkwLhkKsHDTuiy3FnXXrv
152,IN-Crockery-001,Crockery,Green Glossy GG,MB-11 GG,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=11365bcBRkn2R1_jUnkSCysUEnFxTLRua
153,IN-Crockery-001,Crockery,Green Glossy GG,MB-13,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1ehUnwEBi9nJN9hAcceBtuVmyst7hN_Vh
154,IN-Crockery-001,Crockery,Green Glossy GG,MB-14 GG,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1Sip9r8-cKqmimNxpZBp2bW5BWKIG87Tj
155,IN-Crockery-001,Crockery,Green Glossy GG,MB-21 GG,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1mD_3la3WfPt1Y3nL0Jolqe6dHnUcoBQ6
156,IN-Crockery-001,Crockery,Green Glossy GG,MB-33,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1tRFyanaxxIT8FlKZ_BGZCLJXGfx0E9oP
157,IN-Crockery-001,Crockery,Green Glossy GG,MB-44,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1kI-MnpnXW3EskPUyAeC1qG7Kru3qbKGs
158,IN-Crockery-001,Crockery,Green Glossy GG,MB-5 GG,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1ypXJyGYRpHASx33tGQET7z3OuT9EuBol
159,IN-Crockery-001,Crockery,Green Glossy GG,MB-8B,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1RFFXuqCbKt3_PZR782E8n9oQPuxjcnOt
160,IN-Crockery-001,Crockery,Green Glossy GG,MB-8D GG,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1wygg74fBCh70gF0A6CVQDaAaAEAerDbP
161,IN-Crockery-001,Crockery,Green Glossy GG,MB-9 GG,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1wQQ5mwsLd8W2hfRRyiavxf0Joqn-iTqG
162,IN-Decor-001,Decor,Counter,MB0047,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1t5zr0J2jN87quWkzWZrCsmdrwO8Z3T4n
163,IN-Decor-001,Decor,Counter,MB0048,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1IEwPywGmKENeIF0l8x4ok8FE0ErZ_Agy
164,IN-Decor-001,Decor,Counter,MBP-29,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1n88OE7g3A6fUoResBEx6dpzYE9jdzPxR
165,IN-Decor-001,Decor,Counter,MBP-30,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1VtjCQjU81dbhuMM8xblYQHdZUqFZyMpG
166,IN-Decor-001,Decor,Counter,MBP-31,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=11BV_kwezlaf1D0gugMPOoTdw6wpwQPZA
167,IN-Crockery-001,Crockery,Green Glossy GG,MBP-4,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1SSTHvBZL-734X1ACuK4v6t7gaDThJHre
168,IN-Crockery-001,Crockery,Green Glossy GG,MBRP-20,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1gQ7KITuhwMC9dSbKUTM-FL0XlAwFrUG3
169,IN-Crockery-001,Crockery,Green Glossy GG,MBRP-21,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=17hXwk4QwBzXL3PZFsuJo4KGFwcr8OoIO
170,IN-Disposal-001,Disposal,Dispo Cutlery,Medium Cone,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=17EqFA82947jfJxaoRu3J9FjZ_dXHLe4l
171,IN-Crockery-001,Crockery,Dinner Set,MONKEY BOWL,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1-8W_j79GOWRXpU1QVDua_FLceGWmP_1f
172,IN-Decor-001,Decor,WOODEN,Name Tag Stand Big,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1moyW6UObWm3QVku45OCtgY29nrWVZBkh
173,IN-Decor-001,Decor,WOODEN,Name Tag Stand Small,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=10ADP4fYXoSksjA9TD5x_bFj5vXzaYkrg
174,IN-Disposal-001,Disposal,Bamboo,Nav Boat,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1b-EsMInJlnKoy7jw2ah6anMxezxIgr9P
175,IN-Decor-001,Decor,Bowl,New Big Goldeb Square Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1coWcVD73GE5ygR3NStxRf_COLVzDbLAy
176,IN-Decor-001,Decor,Bowl,New Deep Plater Stand Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1Mp_PRZzPxZRRRn-9V7ne-4SDx9OnWSH5
177,IN-Decor-001,Decor,Bowl,New Small Golden Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1dhETXrZBHPifqRv_NkSJK-ptRo7vxJ4p
178,IN-Decor-001,Decor,Bowl,New Small Golden Square Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1TlnfAaxayawGnIY6rCKaB6BIPci8NHo1
179,IN-Decor-001,Decor,Tong,New Tong,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1guhAGEM5UpV-8XStUY8zk_GGkc-h19UH
180,IN-Decor-001,Decor,Tong,Noodles Tong,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1Q_0zO6Bg5ANFHS8OV-t0VJmY2QxZIlwa
181,IN-Decor-001,Decor,Bowl,Old Big Golden Chaat Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=16TxTn07fYPzQi7EGxuIM69jbAe6wkQZN
182,IN-Decor-001,Decor,Bowl,Old Medium Golden Chaat Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1ZS-SwaMoO9J0-C1GWVSxFR_-BJYMuu43
183,IN-Decor-001,Decor,Bowl,Old Small Golden Chaat Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1ynPIsnMVySK7BkkI7IeRVaABZAPXDtJw
184,IN-Decor-001,Decor,Bowl,Old Small Golden Chaat Bowl 2,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1izXodEsjttiRiae_WVR_uErfFBgJeim6
185,IN-Crockery-001,Crockery,Dinner Set,Orange Plate,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=18ZWs-C8G-zmtcYulPcILuMw00Y1DUysL
186,IN-Glass-001,Glass,GLASS,PLAIN GLASS,0,0,0,0,0,0,0,0,No Image
187,IN-Kullhad-001,Kullhad,KULLHAD,PP,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1OsKIdn_jUlG32qmds8_KxiIPfhd0C9ba
188,IN-Decor-001,Decor,Bowl,Red Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1LZFes2SZEos-Lo1vomXSpCbemDhdjXmk
189,IN-Decor-001,Decor,Spoons,Rice Spoon,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=18XreqxwoYCrmBABwiJAJS3Hzz2a5M3Go
190,IN-Crockery-001,Crockery,Green Glossy GG,S-1,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1QHsiljKGCuiQUu02WQJACSwcRpHeUpaK
191,IN-Decor-001,Decor,Bowl,Service Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1cdw-u6Xjdvg3ETfdTqyhQ8OUJBLQstMh
192,IN-Decor-001,Decor,Spoons,Service Spoon,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1dN8EzP4zKrZFmSFXKGvUqptl_9ZN05Hd
193,IN-Decor-001,Decor,Spoons,Service Spoon-2,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1_wVr8V4xqBsMUoVGVHB155GFaRpY9njh
194,IN-Decor-001,Decor,Spoons,Service Spoon-3,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1RpALZN90E_xSxOfVs2PPDVnJBXRhidTj
195,IN-Decor-001,Decor,Spoons,Service Spoon-4,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1fgTQcE7N7-Dgj9H7vcB12g2vyIqs6NNI
196,IN-Decor-001,Decor,Tong,Service Tong,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1A3Box2nWkoTDE0AwUQZhrAa6pCt9GR99
197,IN-Decor-001,Decor,Bowl,Silver Copper,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1iKGSqb4Rpb3KouO5EfennN5mKGB-eGD6
198,IN-Decor-001,Decor,Bowl,Silver Copper Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=12PrdJL9vKc3CflQrpf49V-KzcGAQlsll
199,IN-Decor-001,Decor,Bowl,Silver Golden Plater,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1zQoLKsH_vSXLb4q6HBVz8y_x2mOZOfjj
200,IN-Decor-001,Decor,TRAY,Silver Golden Tray,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=13iEHaNnei2_BkTRk8SUTwBOthjZ9Ynha
201,IN-Decor-001,Decor,Mug,Silver Mug,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1tD8Vj2RGjy2OkDRrmNuWSET3t4f6Ifdq
202,IN-Decor-001,Decor,Pot,Silver Pot Small,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1ZWG3KUy9GP5y9QkWyOQ438OgzSoujh20
203,IN-Decor-001,Decor,Bowl,Silver White Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=11S3saojCkWmqD-j3BkxxaclohNXqCFBE
204,IN-Decor-001,Decor,WOODEN,Single Bhatti Corner,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1PnqA5iL2Gmnh799Z_U9sq4gsARvuitWi
205,IN-Disposal-001,Disposal,Bamboo,Small Bamboo Boat,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1GKK0Exp5-EjYjkfcslbF2o4S4_aZVajO
206,IN-Disposal-001,Disposal,Dispo Cutlery,Small Cone,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1vyjBC95fmjHOZDSPXw4bgEvev6BHjgZ1
207,IN-Decor-001,Decor,Bowl,Small Gold Silver New Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1SfMDfdi0AEGbG8FJWwOMSklmeEOreIhd
208,IN-Decor-001,Decor,Pot,Small Golden Poat,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1XN9_aF_6rYKuhAgA_M_u9r8a19M0SK6R
209,IN-Decor-001,Decor,Bowl,Small Golden Silver Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1cR5jMjlOwGBvKgxbjJ5NRVIOkEgBQVwg
210,IN-Disposal-001,Disposal,Bamboo,Small Gun Toothpick,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1rb1foM30NMXlepnJWi9VDRZl298HfcWF
211,IN-Decor-001,Decor,Bulb,Small Round Bulb,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1CQrf4H4dBTxXEPWxXqLxbXENWsGZzij_
212,IN-Decor-001,Decor,Stand,Small Still Tissue Stand,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1Cyuf8Y_ya-lkEmx2jT1G9D1Q5DUwRPhQ
213,IN-Decor-001,Decor,Stand,Small Tag Stand,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=16ZhahWoRf-oV_bBnd1e5afCcZn_LTYy0
214,IN-Decor-001,Decor,Tong,Small Tong,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1r00R2dNJD-2QD5Cz4mP4nbzI_jF5ba4W
215,IN-Disposal-001,Disposal,Bamboo,Small toothpick,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=10glQMV-wjCRTsulI0u1C0tqcO1WGGJZx
216,IN-Decor-001,Decor,Spoons,Soup Handi Spoon,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=12_HE3QhPwtXA8j9g425hpuffbMC3cY71
217,IN-Decor-001,Decor,TRAY,Squar Golden Tray,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1k4kxMU29_X0vEWQCV8Kp-t19vvoT8cBX
218,IN-Decor-001,Decor,Kadhai,Still Kadhai,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1m_BWHIwqjVLRCYhqS_HSZlNnx_3ezOD9
219,IN-Decor-001,Decor,Stand,Still Press Small tag Stand,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=14g3beWP4NoMGYTQsdRHM995XBK-dpffQ
220,IN-Decor-001,Decor,Stand,Still Tissue Stand,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1fJCSqDQHf0jSGP0hpJt4JF0N_-W8c19U
221,INV-1786532837692,Decor,TRAY,Still Tray,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1vGz2YwNmHwfKPFyyAxqMNPO1E2uMCUul
222,IN-Decor-001,Decor,Stone,Stone Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1XQFX7ypBJwL51pGhgGRBTylqlFenEmgO
223,IN-Decor-001,Decor,Stone,Stone Pot,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1TQY461HqxbfIoeYuv579pU3AM0cpnXgk
224,IN-Disposal-001,Disposal,Arcylic,Straw,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1mdeugP5GQrHa_G-eoV7236az2mb8POnm
225,IN-Kullhad-001,Kullhad,TERRACCOTA,TC-1,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1KNX2qCuUxMhXYwnqb-sLiOi3nkJPSrOp
226,IN-Kullhad-001,Kullhad,TERRACCOTA,TC-2,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1c8atU9Qx4MV-2KLSK_ENkMIOkz9J6bxV
227,IN-Kullhad-001,Kullhad,TERRACCOTA,TC-3,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1G1AJREZh_j_oD48N4zG-Uk2HdB_eZhEw
228,IN-Kullhad-001,Kullhad,TERRACCOTA,TC-4,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=12eu3G0cAC9-w_7f89Q9uHJhTb38N-J8P
229,IN-Kullhad-001,Kullhad,TERRACCOTA,TC-5,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1tiPaUyG9qyv-ZkZ4Rw9lnu0g_by9TVrK
230,IN-Kullhad-001,Kullhad,TERRACCOTA,TC-6,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1eleA8R6UPe6Gj0KFBuW8ATqwfACx0LdU
231,IN-Kullhad-001,Kullhad,TERRACCOTA,TC-9,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1eGhIo61uCBiZD_4SEj0IlFL7b0-Onq-L
232,IN-Crockery-001,Crockery,Terracotta,TCG-7,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1r2FCiEFPr6aVX5Djysl7biQcojXaldcE
233,IN-Kullhad-001,Kullhad,TERRACCOTA,TCG-8,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1Sskb7UY7RzlWJWnspUdoar7QIfsdXMw2
234,IN-Decor-001,Decor,WOODEN,Three Tray Rack,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1l6JEgp8NSPs5BAZ-9FfPf2AxCQGw8eY7
235,IN-Disposal-001,Disposal,Bamboo,Toothpick Big,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1vLVb1eGLN2ruYnabiWThzKACMf_vs8Ov
236,IN-Decor-001,Decor,WOODEN,Two Self Rack With Hurts,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1cCvB8Oz0PmJMKEbisHOkvX8RQshWJWgM
237,IN-Crockery-001,Crockery,Starter,Wh-1,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1KnVmN2Dp7A8TVEYvPKqO9pjcURtOh5RC
238,IN-Crockery-001,Crockery,Starter,Wh-2,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=12zT9XPZx3PdP5XNfXgbTERAwssY45OpJ
239,IN-Crockery-001,Crockery,Starter,Wh-3,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1cWUJiSKe7UF9EGntrENfFRjbSKixBHI-
240,IN-Crockery-001,Crockery,Starter,Wh-4,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1w1gWLalSG-TUtsdfsQ23xPXoReGqbJmO
241,IN-Crockery-001,Crockery,Starter,Wh-5,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1sqiAvvoGaQupnwaPue3oBywt5Uzjk74x
242,IN-Decor-001,Decor,Bowl,White Big Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1nr7O3lsHmcH6SMnjmcL8rPnI5RFYWRc5
243,IN-Decor-001,Decor,WOODEN,White Wooden Tray Large,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1pqxWNDcOHa0GkAeIB23GxDCMoUfuk7z2
244,IN-Decor-001,Decor,WOODEN,Wodden Service Tray,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1mF9WMc6eRllhKmc43nL_czKO_8Nl-vqM
245,IN-Decor-001,Decor,Bowl,Wooden Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1JkcHsu8m_nmnXyStQFFhpprNakdYBzaB
246,IN-Decor-001,Decor,WOODEN,Wooden Elephent Small,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=17Nls-B-yEiaFOWVFIIjLyOkSLT6Im9A4
247,IN-Disposal-001,Disposal,wooden,Wooden fork,0,0,0,0,0,0,0,0,No Image
248,IN-Decor-001,Decor,WOODEN,Wooden Four Staper,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=150BQ7cYb0LpwYObel7eSWSw_t-TvIKTd
249,IN-Decor-001,Decor,WOODEN,Wooden Hawker Tray Small,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1N3AaOZ1Ger2qKLMuUwObuG7IPB3aO9BE
250,IN-Decor-001,Decor,Lamp,Wooden Lamp,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1KvjPj5ndn8IdMIFee3eMmdrDS96maJd0
251,IN-Decor-001,Decor,WOODEN,Wooden Owl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1IqCNO_Ubq0pDvYrbRQ-YKPeDG8-AETZp
252,IN-Decor-001,Decor,WOODEN,Wooden Rack Root Foolding,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1r7QRGMtxFM9TSC6AHTuZHdEIWVm-LV-d
253,IN-Decor-001,Decor,WOODEN,Wooden Round Riser With Inner,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=19MnIcNzwcjR6O0fkaGojaP2AZJZAnXLh
254,IN-Decor-001,Decor,WOODEN,Wooden Sheep,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1yxBVq2BJ2ctEWRkNSWxP96BgyK4VXvhH
255,IN-Disposal-001,Disposal,wooden,Wooden Spoon,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1ZwqImYsFlJu8FQjz4cR2z9xwxV9YCX2J
256,IN-Decor-001,Decor,Stand,Wooden Tag Stand,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1YIkBC9Qv-qX60KWvDPZqOwhg0ZFfjbLB
257,IN-Decor-001,Decor,TRAY,Wooden Tray,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1n4s58VJhRUFRFJE7HSplPYffHnaxADx-
258,IN-Decor-001,Decor,WOODEN,Wooden Tray & Black Stand,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1OnB-aBaMjBj04YI7ucImX8Gxc-xpwKRS
259,IN-Decor-001,Decor,WOODEN,Wooden Tray Big,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1QbKhvod3gUANmwV7c1f7ofKFY7sX9QfV
260,IN-Decor-001,Decor,WOODEN,Wooden Trolly,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1pmISaEboo5EkTGJqLJicNo8Zu1emFqJR
261,IN-Decor-001,Decor,WOODEN,Wooden Two Staper Black Stand,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1hzBD04nBF7WB0PYM2_k1hP-aGwwPPcf3
262,IN-Decor-001,Decor,WOODEN,Wooden Two Stapper,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1IwAsL0pTYJeziAxnDqbCttLZSsnmp8tU
263,IN-Decor-001,Decor,WOODEN,Wooden Water Stand,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1BDzWBk74Ggz8sZxsoGI8Z4dbdk6aTfdK
264,IN-Decor-001,Decor,Riser,Wooden White RIser L/M/S,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=11RDUNmDDxZ76TB0yp4AYwZqNdNTUt_aQ
265,IN-Decor-001,Decor,Bowl,Yellow Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1q81qCEo0UMfA7l0p5WGVX-KADfyIPj55
