Serial No,Inventory No,Inventory Type,Department,Items Name,Total Purchased,Opening Balance,Closing Balance,Total Balance,Total Issue,Total Return,Total Damage,Total Missing,Image
37,IN-Kullhad-001,Kullhad,KULLHAD,Big Handi,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1PdJZxL3LPbZBVrcp5NUbjTKE7Va12hbk
38,IN-Kullhad-001,Kullhad,KULLHAD,Big kulhhad,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1YjAjJ8Qe5s_23I4Wj71g18kuAgNu-yY-
39,INV-1786695153889,Decor,Pot,Big Pot Golden,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=12L32U_JIv5b8g14gjFvb0Eu5hVyEoTXi
40,IN-Decor-001,Decor,Bowl,Black & White Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1dikx6G7ZqB98RxPLQJ3PD0m5H8lVvseN
41,IN-Decor-001,Decor,Bowl,Black Big Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=15aq-OYNNSqoVjbaCNevEF-eVcUpChSdU
42,IN-Decor-001,Decor,Stand,Black Candle Stand,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1kmmZ2-i9c6cxbgej7Aauls4t7EpwKM6w
43,IN-Decor-001,Decor,Bowl,Black Golden BIg bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1Bcll9jCqZw_Y4tDBMK6IoNvytlnIbFkG
44,IN-Decor-001,Decor,Lamp,Black Horse Lamp,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1lMCcikTlzPZERg8Gj-nBEirmUR7mT2MA
45,IN-Decor-001,Decor,Lamp,Black Lamp,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1yov2FYM-tqP7BPTvqNMV7iMLZJTewanY
46,IN-Decor-001,Decor,TRAY,Black Round Tray,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1FX46XhCNeuxQnvSe948u1J8J52sMBAh4
47,IN-Decor-001,Decor,Bowl,Black Small Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1NgbIkQugjR3XnVZNHvpsM3akw0icTH5q
48,IN-Decor-001,Decor,TRAY,Black Tray,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1D5sOljG0DaGwWa8jNqM1T87z5JdrUjMS
49,IN-Decor-001,Decor,Bowl,Black Wooden Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1E5nf83IzMXBN80H1vQ6vuPnivRxvrY7i
50,IN-Decor-001,Decor,Bowl,Blue White Flower,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1WE6vohy2t_1VTKJJGiOHMZYGYfBQTGgn
51,IN-Crockery-001,Crockery,Dinner Set,Bonechina Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1XalpC9jFe9zx9xmqGKFPWacv6N2MMMg2
52,IN-Decor-001,Decor,Photo Box,Box Photo Small,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1bSt5s1kBzrQW0h9yfG9kxoQXF9XB1TQZ
53,IN-Decor-001,Decor,Lamp,Charging Lamp,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1if_hQwg-6dhtns9UuYHClkBfgBJU6m15
54,IN-Decor-001,Decor,WOODEN,Charlie Stand,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1-t-NGu_xSIer_UVze6wryY_F_ZCH6q6c
55,IN-Decor-001,Decor,Meeter,Cheese Meeter,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1gzD_z_ZW4cBWaPNIygNHJJwhVfbAYyOU
56,IN-Decor-001,Decor,Lamp,Chinese Lamp,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1XTcqVNXfnI-VhRIvk29_8Ly4G6jyTnpH
57,IN-Decor-001,Decor,Bowl,Chinni Mitti Blue Bowl,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1LA0LLrXxcMLCqqsjMBMgy2wye0_jmXAs
58,IN-Decor-001,Decor,Bowl,Chinni Mitti Important,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1jjmaZiRyuXlvOa8uX_qinf0bvZ9OF7cx
59,IN-Decor-001,Decor,Fountain,Chocolate Fountain,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1wLVIlEWaCZwISuOTfO73QBcjDrObsM_m
60,IN-Decor-001,Decor,Spoons,Chutney Spoon,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1ZMDjxRxvYsVPQCLjbrm8s-HW_bLxpEt4
61,IN-Disposal-001,Disposal,Extra For Staff,Cofee Glass,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1JS2m5QGWDE4DnYutfMKlvkA9FWpv3Xeb
62,IN-Disposal-001,Disposal,Dispo Cutlery,Combo Fork,0,0,0,0,0,0,0,0,https://drive.google.com/uc?export=view&id=1KR11IAUzflB_MN4OX2UOKcnVMcflJmsA
